id	title	author	author	author_wikidata_url	author_biblissima_url	author_bnf_ark	author_idref_ppn	date	description	oeuvre_wikidata_url	oeuvre_biblissima_url	oeuvre_bnf_ark	relation	elec_num
cjc	Corpus Juris Civilis	Frédéric Duval	Frédéric Duval				https://www.idref.fr/096268247	2026	Corpus juris civilis regroupe des compilations et traductions médiévales françaises en lien avec le droit romain. Cet ensemble d’éditions vise à faciliter l’étude de la réception du droit romain en France à partir du XIIIe siècle. Il comprend des éditions de textes complets, comme Li livres de jostice et de plet, mais aussi des éditions partielles, notamment une série d’éditions du livre 2 du Code et du Digeste d’après toutes les traductions connues, ce qui permet des comparaisons fructueuses.					17bis
cjc_editions	Éditions de compilations et traductions médiévales françaises en lien avec le droit romain	Frédéric Duval	Frédéric Duval				https://www.idref.fr/096268247	2026	Édition électronique d'un corpus des premiers textes de droit traduits en ancien français					
cjc_notices	Notices détaillées sur les traductions médiévales	Frédéric Duval	Frédéric Duval				https://www.idref.fr/096268247	2026	Inventaire des traductions médiévales existantes					
cjc_anonyme_jostice-plet	Li livres de jostice et de plet	Frédéric Duval	Justinien	https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	https://www.idref.fr/096268247	2026	Li livres de jostice et de plet est une compilation anonyme du XIIIe siècle organisée en vingt livres rassemblant des dispositions du droit coutumier et des extraits traduits du Corpus juris civilis et des Decretales, le tout organisé suivant le plan du Digeste médiéval.			ark:/12148/bpt6k6257058f		
cjc_justinien_authentiques	Les Authentiques	Frédéric Duval	Justinien	https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	https://www.idref.fr/096268247	2026	Cette collection rassemble les livres I à III des Authentiques, texte fondamental de la tradition juridique médiévale issu du droit romain. L’édition numérique repose sur la transcription du manuscrit London, British Library, Royal 20.D.IX, corrigée à l’aide du second témoin manuscrit, du texte latin et de corrections par conjecture.				cjc/document/justinien_authenticum_notice	
cjc_justinien_code	Code de Justinien	Frédéric Duval	Justinien	https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	https://www.idref.fr/096268247	2026	Cette collection réunit quatre éditions du Liber secundus du Code de Justinien, traduction française médiévale du Codex Justinianus de Justinien Ier. Ces éditions reposent chacune sur un manuscrit de référence : Paris, BnF, fr. 20119 ; Paris, BnF, fr. 20120 ; Giessen, Universitätsbibliothek, ms. 945 ; et Montpellier, Bibliothèque interuniversitaire de médecine, H 81.	https://www.wikidata.org/wiki/Q735763	https://portail.biblissima.fr/fr/ark:/43093/oedata729b352fc86b7d89bf2ed592e44b03ff90409ea4	ark:/12148/cb15916554c	cjc/document/codex_justinianus_notice?refId=françaises	
cjc_justinien_codi	Li Codes an romanz	Frédéric Duval	Justinien	https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	https://www.idref.fr/096268247	2026	Cette collection rassemble les neuf livres de Li Codes an romanz, traduction en ancien français du Code de Justinien. L’édition proposée repose sur le manuscrit : Paris, Bibliothèque nationale de France, français 1933 (H), enrichi de corrections par conjecture et par confrontation avec le manuscrit de contrôle G (Paris, Bibliothèque nationale de France, français 1070).	https://www.wikidata.org/wiki/Q735763	https://portail.biblissima.fr/fr/ark:/43093/oedata729b352fc86b7d89bf2ed592e44b03ff90409ea4	ark:/12148/cb15916554c		
cjc_justinien_digeste	Digeste de Justinien	Frédéric Duval	Justinien	https://www.wikidata.org/wiki/Q41866	https://portail.biblissima.fr/fr/ark:/43093/ifdata11d6ca6b3fe8f7b6b0a809ee8e7980eee252c205	ark:/12148/cb12055108q	https://www.idref.fr/096268247	2026	Cette collection réunit quatre éditions médiévales françaises du Digeste de Justinien Ier, l’une des composantes majeures du Corpus juris civilis. Elle rassemble principalement des témoins du livre II de cette traduction vernaculaire du droit romain, auxquels s’ajoute, pour le manuscrit Paris, BnF, fr. 20118 (F), l’édition du livre I. Les éditions s’appuient sur les manuscrits Paris, Bibliothèque nationale de France, fr. 20118 et fr. 197, Bruxelles, Bibliothèque royale de Belgique, ms. 9234, ainsi que Montpellier, Bibliothèque interuniversitaire, section Médecine, H 47.	https://www.wikidata.org/wiki/Q838526	https://portail.biblissima.fr/ark:/43093/oedata25dbe0754d506f6764cc2bbe1e3d16377a736fda	ark:/12148/cb13736027w	cjc/document/digestum_vetus_notice	
